,N,variable,value
0,8,handcrafted,0.003610849380493164
1,16,handcrafted,0.022260427474975586
2,24,handcrafted,0.07380175590515137
3,32,handcrafted,0.16828536987304688
4,40,handcrafted,0.323117733001709
5,48,handcrafted,0.5641300678253174
6,56,handcrafted,0.9002985954284668
7,64,handcrafted,1.3294000625610352
8,72,handcrafted,1.9049701690673828
9,80,handcrafted,2.590219020843506
10,88,handcrafted,3.7228786945343018
11,96,handcrafted,4.955681562423706
12,104,handcrafted,6.0991950035095215
13,112,handcrafted,7.443751811981201
14,120,handcrafted,8.64400029182434
15,160,handcrafted,21.087652444839478
16,196,handcrafted,38.09992957115173
17,228,handcrafted,59.949864864349365
18,256,handcrafted,84.90342617034912
19,512,handcrafted,684.9087433815002
20,8,scipy,0.0002193450927734375
21,16,scipy,9.989738464355469e-05
22,24,scipy,0.0001366138458251953
23,32,scipy,0.00014400482177734375
24,40,scipy,0.00016498565673828125
25,48,scipy,0.0001735687255859375
26,56,scipy,0.00023651123046875
27,64,scipy,0.00021958351135253906
28,72,scipy,0.00022840499877929688
29,80,scipy,0.00026106834411621094
30,88,scipy,0.00040411949157714844
31,96,scipy,0.0002751350402832031
32,104,scipy,0.00041985511779785156
33,112,scipy,0.0004220008850097656
34,120,scipy,0.00043129920959472656
35,160,scipy,0.0006189346313476562
36,196,scipy,0.0012676715850830078
37,228,scipy,0.0014557838439941406
38,256,scipy,0.0015492439270019531
39,512,scipy,0.008117914199829102
40,8,N^2*log(N),133.0842586675095
41,16,N^2*log(N),709.782712893384
42,24,N^2*log(N),1830.5590062804167
43,32,N^2*log(N),3548.91356446692
44,40,N^2*log(N),5902.207126582298
45,48,N^2*log(N),8919.247129131782
46,56,N^2*log(N),12623.502902145428
47,64,N^2*log(N),17034.785109441214
48,72,N^2*log(N),22170.23716097923
49,80,N^2*log(N),28044.97046191284
50,88,N^2*log(N),34672.496291319236
51,96,N^2*log(N),42065.03293256758
52,104,N^2*log(N),50233.73196511308
53,112,N^2*log(N),59188.84984152566
54,120,N^2*log(N),68939.88109606146
55,160,N^2*log(N),129924.44966998596
56,196,N^2*log(N),202764.05274899953
57,228,N^2*log(N),282239.10317556764
58,256,N^2*log(N),363408.7490014126
59,512,N^2*log(N),1635339.3705063567
60,8,N^3,512.0
61,16,N^3,4096.0
62,24,N^3,13824.0
63,32,N^3,32768.0
64,40,N^3,64000.0
65,48,N^3,110592.0
66,56,N^3,175616.0
67,64,N^3,262144.0
68,72,N^3,373248.0
69,80,N^3,512000.0
70,88,N^3,681472.0
71,96,N^3,884736.0
72,104,N^3,1124864.0
73,112,N^3,1404928.0
74,120,N^3,1728000.0
75,160,N^3,4096000.0
76,196,N^3,7529536.0
77,228,N^3,11852352.0
78,256,N^3,16777216.0
79,512,N^3,134217728.0
