,N,variable,value
0,10,dct2n_time,0.019680261611938477
1,50,dct2n_time,0.021550416946411133
2,100,dct2n_time,0.09176349639892578
3,500,dct2n_time,1.6257543563842773
4,1000,dct2n_time,6.680349349975586
5,5000,dct2n_time,179.19236302375793
6,10000,dct2n_time,945.6514563560486
7,10,fftpack.dctn_time,0.00023674964904785156
8,50,fftpack.dctn_time,0.00021505355834960938
9,100,fftpack.dctn_time,0.0003345012664794922
10,500,fftpack.dctn_time,0.0058917999267578125
11,1000,fftpack.dctn_time,0.033206939697265625
12,5000,fftpack.dctn_time,1.210108995437622
13,10000,fftpack.dctn_time,9.214447498321533
